epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,454.667,0.37389,0.35506,1.08311,0.99096,0.98528,0.99463,0.91919,0.43569,0.27147,1.15006,0.00499505,0.00499505,0.00499505
2,1016.71,0.37865,0.40778,1.06343,0.98346,0.99446,0.99392,0.92066,0.415,0.23877,1.12074,0.00999503,0.00999503,0.00999503
3,1954.87,0.40194,0.50077,1.07644,0.9896,0.99113,0.99391,0.90244,0.44027,0.26097,1.15787,0.0099999,0.0099999,0.0099999
4,2400.79,0.40494,0.52305,1.07727,0.97816,0.9877,0.99128,0.9202,0.39268,0.25753,1.10299,0.00999978,0.00999978,0.00999978
5,2813.14,0.401,0.52065,1.07388,0.97442,0.97212,0.99297,0.91707,0.40818,0.27265,1.10732,0.00999961,0.00999961,0.00999961
6,432.767,0.40003,0.51451,1.07531,0.98158,0.98536,0.99303,0.92642,0.39646,0.24786,1.10926,0.00999939,0.00999939,0.00999939
7,955.963,0.39952,0.49935,1.0726,0.97079,0.94944,0.98675,0.9208,0.38249,0.29417,1.08244,0.00999912,0.00999912,0.00999912
8,1617.69,0.39226,0.48273,1.06728,0.9896,0.99347,0.9947,0.92538,0.39366,0.22154,1.09794,0.0099988,0.0099988,0.0099988
9,2020.42,0.39257,0.48985,1.06603,0.98904,0.98856,0.99363,0.92714,0.39353,0.23501,1.09722,0.00999843,0.00999843,0.00999843
10,2454.96,0.38953,0.48272,1.06455,0.96036,0.91903,0.97907,0.91189,0.3884,0.33404,1.06906,0.00999801,0.00999801,0.00999801
11,2857.84,0.3987,0.50636,1.07299,0.9802,0.9939,0.99458,0.92988,0.389,0.21997,1.09497,0.00999755,0.00999755,0.00999755
12,3291.09,0.39834,0.50635,1.07162,0.98882,0.99415,0.99472,0.92284,0.40993,0.22828,1.11551,0.00999703,0.00999703,0.00999703
13,3697.87,0.39494,0.50551,1.06756,0.98671,0.99528,0.99494,0.93931,0.35361,0.20243,1.0402,0.00999647,0.00999647,0.00999647
14,4103.6,0.39344,0.50627,1.06715,0.98932,0.99152,0.99423,0.93281,0.37203,0.20601,1.0664,0.00999585,0.00999585,0.00999585
15,4510.45,0.39001,0.49978,1.06675,0.9937,0.99596,0.99475,0.92736,0.40273,0.20926,1.10271,0.00999519,0.00999519,0.00999519
16,4916.97,0.39204,0.50236,1.06712,0.98687,0.9909,0.99353,0.93483,0.36911,0.2103,1.05802,0.00999448,0.00999448,0.00999448
17,5323.94,0.38633,0.4964,1.06342,0.98555,0.97623,0.99276,0.93985,0.35602,0.23057,1.04209,0.00999372,0.00999372,0.00999372
18,5762.86,0.38606,0.49514,1.06445,0.99105,0.98644,0.99347,0.94091,0.35493,0.21502,1.03864,0.00999291,0.00999291,0.00999291
19,6171.23,0.3842,0.49182,1.06089,0.99273,0.98934,0.99457,0.9396,0.36354,0.20547,1.0519,0.00999205,0.00999205,0.00999205
20,6578.45,0.38403,0.48999,1.0636,0.99155,0.99794,0.9949,0.9386,0.36901,0.19847,1.06655,0.00999114,0.00999114,0.00999114
21,6983.99,0.38362,0.49209,1.06344,0.99679,0.99791,0.99498,0.94532,0.34685,0.18468,1.02685,0.00999018,0.00999018,0.00999018
22,7390.89,0.37839,0.48655,1.05805,0.99678,0.99755,0.99478,0.94365,0.35722,0.19797,1.0447,0.00998918,0.00998918,0.00998918
23,7797.53,0.37616,0.48405,1.05985,0.99471,0.99546,0.99482,0.94872,0.3399,0.18964,1.02133,0.00998812,0.00998812,0.00998812
24,8204.73,0.37628,0.48403,1.05818,0.9938,0.99661,0.99495,0.94482,0.35435,0.1834,1.03936,0.00998702,0.00998702,0.00998702
25,8610.64,0.37809,0.47743,1.05884,0.99645,0.99757,0.99499,0.95222,0.33008,0.17825,1.0152,0.00998587,0.00998587,0.00998587
26,9016.93,0.37527,0.47575,1.05526,0.99746,0.99843,0.99499,0.95278,0.33755,0.17673,1.01954,0.00998466,0.00998466,0.00998466
27,9423.13,0.37908,0.47502,1.05854,0.99509,0.99744,0.99471,0.95352,0.33294,0.17934,1.01385,0.00998341,0.00998341,0.00998341
28,9829.86,0.37477,0.47061,1.05657,0.99659,0.99858,0.995,0.95407,0.33348,0.17264,1.0155,0.00998211,0.00998211,0.00998211
29,10237,0.3718,0.47521,1.05721,0.99634,0.9987,0.99473,0.95412,0.33567,0.17391,1.0192,0.00998076,0.00998076,0.00998076
30,10642.9,0.37154,0.47185,1.05303,0.9966,0.99781,0.995,0.95018,0.3438,0.17914,1.02877,0.00997937,0.00997937,0.00997937
31,11049.4,0.37404,0.47067,1.05726,0.99534,0.9982,0.99472,0.95224,0.33604,0.17985,1.02086,0.00997792,0.00997792,0.00997792
32,11455.9,0.37071,0.47447,1.0564,0.9978,0.99875,0.99499,0.95315,0.33023,0.16779,1.01327,0.00997643,0.00997643,0.00997643
33,11861.8,0.37204,0.47262,1.05789,0.99752,0.99842,0.995,0.95868,0.32242,0.16972,0.99816,0.00997488,0.00997488,0.00997488
34,12267.4,0.37245,0.4727,1.05635,0.99826,0.999,0.995,0.9573,0.32579,0.16885,1.00455,0.00997329,0.00997329,0.00997329
35,12673.4,0.37063,0.4707,1.05482,0.99679,0.99781,0.99498,0.95736,0.32924,0.16716,1.01188,0.00997165,0.00997165,0.00997165
36,13079.1,0.37091,0.46565,1.0558,0.9977,0.99927,0.99473,0.95682,0.32813,0.16691,1.00826,0.00996996,0.00996996,0.00996996
37,13486.6,0.37026,0.4635,1.05518,0.99746,0.99834,0.99463,0.95533,0.32834,0.16963,1.01059,0.00996822,0.00996822,0.00996822
38,13892.5,0.36828,0.46257,1.05469,0.99729,0.99837,0.995,0.96064,0.3175,0.16188,0.99342,0.00996643,0.00996643,0.00996643
39,14298.2,0.36994,0.46217,1.05373,0.99777,0.99898,0.99497,0.9606,0.31912,0.16172,0.9961,0.00996459,0.00996459,0.00996459
40,14704.5,0.36748,0.4585,1.05332,0.99727,0.99824,0.99499,0.95959,0.32306,0.16346,1.0047,0.00996271,0.00996271,0.00996271
41,15110.3,0.36879,0.46027,1.0528,0.9971,0.99865,0.99499,0.95992,0.3186,0.16084,1.00162,0.00996077,0.00996077,0.00996077
42,15516.3,0.36611,0.45425,1.05359,0.99783,0.99871,0.99497,0.96101,0.31684,0.16282,1.00022,0.00995879,0.00995879,0.00995879
43,15922.1,0.36605,0.45457,1.05188,0.99802,0.9988,0.99497,0.96302,0.31387,0.15899,0.99463,0.00995676,0.00995676,0.00995676
44,16328.4,0.36603,0.45305,1.05301,0.99846,0.99922,0.995,0.96318,0.31378,0.15759,0.99483,0.00995467,0.00995467,0.00995467
45,16734.1,0.36757,0.45427,1.05281,0.99791,0.9996,0.99491,0.96505,0.30734,0.1546,0.98638,0.00995255,0.00995255,0.00995255
46,17140.7,0.36443,0.45376,1.05127,0.99778,0.99965,0.9949,0.96444,0.30711,0.15348,0.98586,0.00995037,0.00995037,0.00995037
47,17546.6,0.36404,0.45226,1.05336,0.99832,0.99922,0.99498,0.96174,0.31188,0.15671,0.99164,0.00994814,0.00994814,0.00994814
48,17951.9,0.36427,0.45684,1.05181,0.99796,0.99938,0.995,0.96408,0.30843,0.15364,0.98807,0.00994587,0.00994587,0.00994587
49,18357.4,0.36512,0.45352,1.05152,0.99822,0.99967,0.995,0.96563,0.30618,0.15286,0.9853,0.00994354,0.00994354,0.00994354
50,18763.3,0.3628,0.45012,1.05103,0.99863,0.99982,0.995,0.96531,0.30578,0.15231,0.984,0.00994117,0.00994117,0.00994117
51,19169.9,0.36343,0.45523,1.0498,0.99865,0.99957,0.995,0.96497,0.30552,0.15266,0.98219,0.00993875,0.00993875,0.00993875
52,19576,0.36533,0.45384,1.05444,0.99881,0.99938,0.995,0.96605,0.30335,0.15216,0.97868,0.00993628,0.00993628,0.00993628
53,19982.9,0.36064,0.44595,1.05088,0.99838,0.99965,0.995,0.96634,0.30386,0.15315,0.97955,0.00993376,0.00993376,0.00993376
54,20388.6,0.3612,0.43962,1.0522,0.99831,0.99926,0.995,0.96585,0.30388,0.15334,0.97927,0.0099312,0.0099312,0.0099312
55,20795.1,0.36133,0.44413,1.05024,0.99812,0.99892,0.995,0.96573,0.30405,0.15363,0.97847,0.00992858,0.00992858,0.00992858
56,21200.9,0.36264,0.44258,1.05095,0.99823,0.99914,0.995,0.96642,0.30263,0.15202,0.97637,0.00992592,0.00992592,0.00992592
57,21606.9,0.36318,0.44493,1.05162,0.99812,0.99894,0.995,0.9666,0.30279,0.15264,0.97629,0.00992321,0.00992321,0.00992321
58,22012.8,0.36183,0.44365,1.05155,0.99823,0.99854,0.995,0.96614,0.30267,0.15248,0.9768,0.00992045,0.00992045,0.00992045
59,22419.1,0.36218,0.44414,1.04981,0.99835,0.99868,0.995,0.96709,0.30297,0.15127,0.97766,0.00991764,0.00991764,0.00991764
60,22825.8,0.36038,0.44089,1.0506,0.99874,0.99878,0.995,0.96679,0.30168,0.15037,0.97662,0.00991478,0.00991478,0.00991478
