epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12102.1,0.36203,0.51635,1.00649,0.99606,0.99813,0.99498,0.96954,0.28781,0.15481,0.95158,0.00828443,0.00828443,0.00828443
43,12395.2,0.35869,0.50848,1.00929,0.99629,0.99873,0.99498,0.96893,0.28722,0.154,0.95355,0.00820525,0.00820525,0.00820525
44,12688.9,0.36098,0.51301,1.00778,0.99731,0.99847,0.99499,0.96909,0.2875,0.15099,0.95226,0.00812468,0.00812468,0.00812468
45,12982.3,0.35893,0.5079,1.00579,0.9976,0.99856,0.995,0.97004,0.28772,0.14988,0.94935,0.00804277,0.00804277,0.00804277
46,13278.1,0.35795,0.50166,1.00713,0.99829,0.9991,0.995,0.97068,0.28542,0.14729,0.94917,0.00795954,0.00795954,0.00795954
47,13572.2,0.35772,0.49989,1.00795,0.99768,0.99892,0.995,0.97098,0.2843,0.14642,0.94845,0.00787503,0.00787503,0.00787503
48,13865.9,0.35651,0.49951,1.00849,0.99773,0.99894,0.995,0.97057,0.28408,0.14722,0.94769,0.00778929,0.00778929,0.00778929
49,14159.4,0.3519,0.48771,1.00696,0.99872,0.99889,0.995,0.9708,0.28254,0.14589,0.94722,0.00770234,0.00770234,0.00770234
50,14454.1,0.35255,0.48477,1.00604,0.99877,0.99937,0.995,0.9704,0.28182,0.14585,0.94757,0.00761423,0.00761423,0.00761423
51,14747.5,0.34946,0.48135,1.00368,0.99852,0.99915,0.995,0.97036,0.28272,0.14689,0.9479,0.007525,0.007525,0.007525
52,15043,0.34953,0.4791,1.00417,0.99868,0.99935,0.995,0.97095,0.28306,0.14703,0.9489,0.00743468,0.00743468,0.00743468
53,15336.4,0.35055,0.47576,1.0048,0.99862,0.99926,0.995,0.9713,0.28171,0.14564,0.9483,0.00734332,0.00734332,0.00734332
54,15630.6,0.34666,0.47351,1.00351,0.99878,0.99894,0.995,0.97107,0.2818,0.14526,0.94797,0.00725094,0.00725094,0.00725094
55,15926.3,0.34492,0.46782,1.00214,0.99884,0.99881,0.995,0.97129,0.28148,0.14552,0.94794,0.00715761,0.00715761,0.00715761
56,16220,0.34305,0.46901,1.0027,0.99886,0.99893,0.995,0.9714,0.28107,0.14474,0.94756,0.00706335,0.00706335,0.00706335
57,16512.9,0.34439,0.47083,1.00432,0.99868,0.99892,0.995,0.9712,0.28098,0.14505,0.94737,0.0069682,0.0069682,0.0069682
58,16807.8,0.34396,0.46614,1.00186,0.99862,0.99903,0.995,0.97132,0.28092,0.14554,0.94712,0.00687222,0.00687222,0.00687222
59,17101.3,0.34043,0.46103,1.00213,0.99865,0.99917,0.995,0.97136,0.28025,0.14557,0.94708,0.00677543,0.00677543,0.00677543
60,17396.1,0.33987,0.45692,1.00159,0.9988,0.99907,0.995,0.97143,0.27965,0.14442,0.94705,0.00667789,0.00667789,0.00667789
61,17688.7,0.33974,0.458,1.00206,0.99882,0.9991,0.995,0.97174,0.27909,0.14421,0.94666,0.00657963,0.00657963,0.00657963
62,17981.6,0.33736,0.44983,1.0007,0.99881,0.99924,0.995,0.9718,0.27877,0.14441,0.94642,0.00648071,0.00648071,0.00648071
63,18275.7,0.33708,0.44834,0.99804,0.9988,0.99938,0.995,0.97178,0.27842,0.1443,0.94634,0.00638115,0.00638115,0.00638115
64,18573.8,0.33343,0.44242,0.99802,0.99888,0.99938,0.995,0.97182,0.27822,0.14423,0.94619,0.00628101,0.00628101,0.00628101
65,18866.4,0.33224,0.43692,0.99948,0.99888,0.99939,0.995,0.97174,0.27822,0.14411,0.94592,0.00618034,0.00618034,0.00618034
66,19159.1,0.32907,0.4291,0.99807,0.99888,0.99941,0.995,0.97182,0.27794,0.14404,0.94566,0.00607916,0.00607916,0.00607916
67,19450.8,0.32964,0.43097,0.9966,0.99889,0.99944,0.995,0.97159,0.27789,0.14427,0.94563,0.00597754,0.00597754,0.00597754
68,19743.1,0.32913,0.42781,0.99869,0.99888,0.99951,0.995,0.97144,0.27786,0.14393,0.94541,0.00587551,0.00587551,0.00587551
